kod,nazwa,synteza,zadania,zadania_zawodowe,zawodowe
441,Pozostali pracownicy obsługi biura,"Pozostali pracownicy obsługi biura wykonują prace biurowe w redakcjach, sądach, archiwach, bibliotekach, urzędach pocztowych; segregują dokumenty, prowadzą rejestr pracowników, sprawdzają materiały pod względem spójności.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: rejestrowanie informacji dotyczących nabycia, wydania lub zwrotu książek będących własnością biblioteki; prowadzenie rejestru pracowników; klasyfikowanie i segregowanie różnych dokumentów i rejestrów; sortowanie, rejestrowanie i dostarczanie korespondencji z urzędu pocztowego jak również z siedziby przedsiębiorstwa; kodowanie; poprawianie błędów; wykonywanie szeregu niesklasyfikowanych czynności biurowych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
511,"Stewardzi, konduktorzy i przewodnicy","Stewardzi, konduktorzy i przewodnicy świadczą zróżnicowane usługi osobiste związane z podróżowaniem samolotem, koleją, autobusem lub innym pojazdem oraz organizowaniem różnego typu wycieczek dla osób indywidualnych oraz grup.",,Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: dbanie o komfort i bezpieczeństwo pasażerów; serwowanie posiłków i napojów; udzielanie informacji i odpowiadanie na pytania w trakcie podróży; kontrolowanie lub wydawanie biletów w środkach komunikacji; towarzyszenie osobom indywidualnym lub grupom w trakcie różnego typu wycieczek oraz udzielanie informacji o zwiedzanych miejscach. Do ich zadań może także należeć nadzorowanie innych pracowników.,
512,Kucharze,"Kucharze planują, organizują, przygotowują i gotują posiłki w hotelach, restauracjach i innych lokalach gastronomicznych, na pokładzie statku, w pociągach pasażerskich oraz w prywatnych gospodarstwach domowych.",,"Do zadań wykonywanych przez kucharzy należy zazwyczaj: planowanie i gotowanie posiłków; planowanie, nadzorowanie i koordynowanie pracy w kuchni; kontrolowanie jakości żywności; ważenie, mierzenie i mieszanie składników zgodnie z przepisami lub własnym uznaniem; obsługa i regulowanie temperatury piekarników, rusztów, opiekaczy i innych sprzętów służących do gotowania, smażenia i pieczenia; obserwowanie i sprzątanie kuchni, wyposażenia kuchennego, miejsc przeznaczonych dla gości itd., by zapewnić odpowiedni poziom bezpieczeństwa i higieny. Do ich zadań może także należeć nadzorowanie innych pracowników.",
513,Kelnerzy i barmani,"Kelnerzy i barmani serwują posiłki i napoje w lokalach gastronomicznych, klubach, instytucjach i stołówkach, na pokładzie statków i w pociągach pasażerskich.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: pomoc w utrzymaniu odpowiedniego wyposażenia baru; mycie brudnych naczyń oraz baru; serwowanie napojów alkoholowych i bezalkoholowych; zastawianie stołów czystymi obrusami, sztućcami, naczyniami i szkłem; serwowanie posiłków i napojów; doradzanie przy wyborze wina i serwowanie wina; przyjmowanie zamówień na posiłki/napoje i przekazywanie ich do kuchni; okazywanie rachunku i przyjmowanie płatności. Do ich zadań może także należeć nadzorowanie innych pracowników.",
514,"Fryzjerzy, kosmetyczki i pokrewni","Fryzjerzy, kosmetyczki i pokrewni zajmują się obcinaniem i czesaniem włosów, goleniem i przystrzyganiem zarostu, wykonywaniem zabiegów pielęgnacyjnych, stosowaniem kosmetyków i wykonywaniem makijażu oraz innymi zabiegami upiększającymi.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: poznanie oczekiwań klientów; obcinanie i czesanie włosów; golenie i przystrzyganie zarostu; wykonywanie zabiegów pielęgnacyjnych, stosowanie kosmetyków i wykonywanie makijażu; kształtowanie i polerowanie paznokci u rąk i stóp oraz leczenie drobnych dolegliwości rąk i stóp; obsługiwanie klientów biorących kąpiel pielęgnacyjną oraz korzystających z solarium; tworzenie wizerunku. Do ich zadań może także należeć nadzorowanie innych pracowników.",
515,Gospodarze obiektów,"Gospodarze obiektów koordynują, planują i nadzorują pracę osób sprzątających i pracowników obsługi pokojowej i technicznej w gospodarstwach agroturystycznych, zakładach hotelarskich, budynkach handlowych, przemysłowych, mieszkalnych i sakralnych. Są oni odpowiedzialni za utrzymanie porządku i czystości w hotelach, biurach, apartamentach, domach, prywatnych mieszkaniach.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: przydzielanie obowiązków i kontrolowanie czy sprzątanie, obsługa agroturystyczna, hotelowa oraz prace techniczne zostały należycie wykonane; kontrolowanie, wydawanie zaopatrzenia i elementów wyposażenia; przyjmowanie i szkolenie nowych pracowników; wykonywanie niektórych czynności związanych ze sprzątaniem, obsługą pokojową oraz drobnymi naprawami, a także wykonywanie takich obowiązków jak: gospodarz gospodarstwa agroturystycznego, gospodarz domu, kościelny. Do zadań może także należeć nadzorowanie innych pracowników.",
516,Pozostali pracownicy usług osobistych,"Pozostali pracownicy usług osobistych opisują przeszłość i przepowiadają przyszłość klientów, zapewniają towarzystwo, pielęgnują, tresują i opiekują się zwierzętami, zajmują się balsamowaniem zwłok i organizacją pogrzebu, uczą prowadzić samochód.",,"Zadania wykonywane przez pracowników ujętych w tej grupie zazwyczaj obejmują: wróżenie, sporządzanie horoskopu, itp.; zapewnianie towarzystwa; świadczenie usług pogrzebowych i balsamowanie zwłoki; karmienie, opiekę, tresurę i pielęgnację zwierząt; naukę jazdy samochodem. Do ich zadań może także należeć nadzorowanie innych pracowników.",
521,Sprzedawcy uliczni i bazarowi,"Sprzedawcy uliczni i bazarowi sprzedają towary ze stoisk na targach, ulicach i w innych miejscach publicznych albo w sprzedaży obwoźnej.",,"Zadania wykonywane przez sprzedawców ujętych w tej grupie zwykle obejmują: pozyskiwanie pozwolenia na sprzedaż towarów oraz rozstawienie stoiska w określonym miejscu na ulicy, targu lub innej przestrzeni otwartej, przygotowywanie i sprzedawanie lub tylko sprzedawanie artykułów żywnościowych, napojów i innych towarów na ulicach i w innych miejscach publicznych; sprzedawanie towarów w sprzedaży obwoźnej. Do ich zadań może także należeć nadzorowanie innych pracowników.",
522,Pracownicy sprzedaży w sklepach,"Pracownicy sprzedaży w sklepach sprzedają różne towary i usługi bezpośrednio lub za pośrednictwem przedsiębiorstw detalicznych i hurtowych. Objaśniają funkcjonowanie i cechy towarów i usług, czasami prowadzą małe sklepy lub nadzorują pracę sprzedawców i kasjerów.",,"Zadania wykonywane przez pracowników sprzedaży ujętych w tej grupie zwykle obejmują: określanie oczekiwań klientów i doradzanie w zakresie oferty produktów, cen, możliwości dostawy, zasady gwarancji oraz eksploatacji produktu; objaśnianie, prezentowanie i sprzedawanie towarów i usług klientom; przyjmowanie różnych form płatności i wystawianie rachunków i faktur; uczestniczenie w zarządzaniu zaopatrzeniem i inwentaryzacji; ustawianie i eksponowanie towarów przeznaczonych na sprzedaż, pakowanie sprzedanych towarów; podejmowanie decyzji dotyczących portfolio produktów, zaopatrzenia i ceny towarów przeznaczonych na sprzedaż; nadzorowanie i koordynowanie pracy ekspedientów w sklepie, kasjerów w supermarketach i domach towarowych.",
523,Kasjerzy i sprzedawcy biletów,"Kasjerzy i sprzedawcy biletów obsługują kasy fiskalne, skanery optyczne, komputery i inne elementy wyposażenia służące do rejestrowania sprzedaży i przyjmowania płatności za zakup towarów, usług lub wstęp na imprezy rozrywkowe i sportowe.",,"Zadania wykonywane przez pracowników ujętych w tej grupie zwykle obejmują: przyjmowanie i weryfikację płatności gotówką, czekiem lub kartą kredytową w sklepach lub kasach biletowych; wydawanie rachunku, paragonu, lub faktury; wydawanie biletów w kasach biletowych oraz przyjmowanie płatności; liczenie i rejestrowanie otrzymanej lub wypłaconej gotówki oraz porównywanie tych sum z zarejestrowanymi transakcjami; przygotowanie gotówki do wpłacenia do banku; obsługę kasy fiskalnej; rejestrowanie cen towarów, ważenie i pakowanie sprzedanych towarów.",
524,Inni pracownicy sprzedaży i pokrewni,"Inni pracownicy sprzedaży i pokrewni eksponują, prezentują i sprzedają towary, żywność i usługi. Do tej grupy zaliczają się sprzedawcy niesklasyfikowani w grupach elementarnych 521 Sprzedawcy uliczni i bazarowi oraz 523 Kasjerzy i sprzedawcy biletów.",,"Zadania wykonywane przez pracowników ujętych w tej grupie zwykle obejmują: eksponowanie i prezentowanie towarów przeznaczonych na sprzedaż; pozowanie do fotografii, filmów, reklam i projektów artystycznych; udzielanie informacji i doradzanie w zakresie eksploatacji produktu lub korzystania z usługi; przyjmowanie zamówień, przygotowywanie płatności, dostawę i odbiór towarów lub usług; sprzedaż towarów i usług w formie akwizycji poprzez nawiązanie bezpośredniego, telefonicznego lub elektronicznego kontaktu z klientem; sprzedaż paliwa, olejów i innych produktów motoryzacyjnych na stacjach paliw; świadczenie usług, np.: tankowanie, czyszczenie, smarowanie i wykonywanie drobnych napraw pojazdów mechanicznych; wydawanie posiłków; doradztwo i obsługa klientów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
531,Opiekunowie dziecięcy i asystenci nauczycieli,"Opiekunowie dziecięcy i asystenci nauczycieli opiekują się dziećmi i sprawują nad nimi nadzór w szkołach, ośrodkach opiekuńczo-wychowawczych oraz żłobkach i przedszkolach.",,"Do zadań wykonywanych przez opiekunów dziecięcych i asystentów nauczycieli ujętych w tej grupie zazwyczaj należy: pomaganie dzieciom w nabywaniu umiejętności społecznych; prezentowanie i nadzorowanie działań, które wspierają fizyczny, społeczny, emocjonalny i intelektualny rozwój dziecka w szkole i przedszkolu oraz uczestniczenie w tych działaniach; asystowanie w przygotowywaniu materiałów i sprzętów wykorzystywanych podczas zajęć edukacyjnych i rekreacyjnych, w których dzieci biorą udział przed zajęciami szkolnymi i po nich, np. podczas wakacji lub w ośrodkach opieki dziennej.",
532,Pracownicy opieki osobistej w ochronie zdrowia i pokrewni,"Pracownicy opieki osobistej w ochronie zdrowia i pokrewni sprawują opiekę nad pacjentami i osobami starszymi, rekonwalescentami, osobami niepełnosprawnymi w jednostkach opieki zdrowotnej i w warunkach domowych, udzielają im pomocy przy przemieszczaniu się i wykonywaniu codziennych czynności.",,"Zadania wykonywane przez pracowników opieki osobistej ujętych w tej grupie zwykle obejmują: opiekę i wsparcie przy czynnościach życia codziennego osobom wymagającym takiej opieki; pielęgnowanie oraz dbanie o zdrowie, higienę osobistą ludzi chorych i niesamodzielnych; inicjowanie pozytywnych relacji międzyludzkich w najbliższym otoczeniu podopiecznego; sterylizowanie instrumentów i sprzętu medycznego; przygotowywanie pacjentów do badań i leczenia oraz uczestniczenie w planowaniu opieki nad poszczególnymi osobami. Do ich zadań może także należeć nadzorowanie innych pracowników.",
541,Pracownicy usług ochrony,"Pracownicy usług ochrony zajmują się ochroną osób i mienia przed pożarem i innymi zagrożeniami, przestrzegają prawa i porządku oraz egzekwują prawo i przepisy.",,"Zadania realizowane przez pracowników usług ochrony ujętych w tej grupie zazwyczaj obejmują: zapobieganie, zwalczanie i gaszenie pożarów; ratowanie ludzi z płonących budynków, miejsc wypadków i osób znajdujących się w niebezpieczeństwie; przestrzeganie prawa i porządku, ochronę przedstawicieli władzy ustawodawczej; egzekwowanie praw i przepisów, patrolowanie obszarów publicznych i aresztowanie podejrzanych o popełnienie przestępstwa; kierowanie ruchem oraz przejmowanie kontroli w przypadku wypadków; nadzór i utrzymywanie porządku wśród osób przebywających w zakładach penitencjarnych lub poprawczych; patrolowanie lub monitoring pomieszczeń w celu ochrony mienia przed kradzieżą i aktami wandalizmu, kontrolę dostępu do budynków i utrzymywanie porządku oraz egzekwowanie przepisów podczas wydarzeń publicznych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
611,Rolnicy produkcji roślinnej,"Rolnicy produkcji roślinnej planują, organizują, uprawiają i zbierają plony z pól, uprawiają owoce i inne plony z sadów, uprawiają ogrody warzywne, rośliny lecznicze i inne rośliny, zajmują się produkcją, a także wytwarzają produkty ogrodnicze i szkółkarskie na sprzedaż lub w regularnych dostawach do nabywców hurtowych, organizacji rynkowych lub bezpośrednio na rynki.",,"Zadania wykonywane przez rolników produkcji roślinnej ujętych w tej grupie obejmują zwykle: monitoring działań i warunków rynkowych, określanie rodzajów i ilości sadzonych roślin, planowanie i koordynację produkcji; zakup ziaren, bulw i nawozów, inwestycje w ziemię i melioracje; przygotowanie gleby, wysiew, sadzenie, uprawę i zbiór plonów; produkcję sadzonek, bulw i nasion; gromadzenie i przeprowadzanie podstawowej obróbki produktów; dostawę lub sprzedaż produktów rolnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
612,Hodowcy zwierząt,"Hodowcy zwierząt planują, organizują i prowadzą działania na rzecz hodowli zwierząt udomowionych, drobiu, owadów i zwierząt dzikich w celu produkcji mięsa, nabiału, miodu, skór, tekstyliów i innych produktów lub hodowli zwierząt roboczych, sportowych lub rekreacyjnych, na sprzedaż lub w dostawie do nabywców hurtowych, organizacji rynkowych lub bezpośrednio na rynki.",,"Zadania wykonywane przez hodowców zwierząt ujętych w tej grupie obejmują zwykle: monitoring działań i warunków rynkowych, planowanie i koordynację produkcji; hodowlę i żywienie zwierząt; przygotowywanie zwierząt i produktów pochodzenia zwierzęcego na rynek; monitoring i badanie zwierząt w celu wykrycia chorób, urazów lub zakażeń, oraz sprawdzanie stanu fizycznego, np. poprzez kontrolę przyrostu masy; wykonywanie obowiązków związanych z reprodukcją zwierząt, takich jak: rozmnażanie, sztuczne zapłodnienie, pomoc przy porodach; czyszczenie budynków, sprzętu, maszyn i obiektów; gromadzenie produktów i obróbkę produkcyjną; promocję i marketing produktów; sprzedaż, zakup i transport produktów i dostaw; prowadzenie rejestrów działalności gospodarstwa i transakcji; szkolenie pracowników w zakresie sprawowania właściwej opieki nad zwierzętami oraz bhp. Do ich zadań może także należeć nadzorowanie innych pracowników.",
613,Rolnicy produkcji roślinnej i zwierzęcej,"Rolnicy produkcji roślinnej i zwierzęcej planują prace i zabiegi dla mieszanej gospodarki wiejskiej, obejmującej zarówno produkty roślinne, jak i zwierzęce, celem sprzedaży ich na targowisku lub regularnych dostaw do hurtu lub organizacji handlowych.",,"Zadania wykonywane przez rolników ujętych w tej grupie obejmują zwykle: określanie rodzaju upraw polowych oraz inwentarza; kupowanie nasion, sadzonek i nawozów sztucznych; wydzierżawianie środków produkcji lub inwestowanie w ziemię orną, zwierzęta, budynki i maszyny; przygotowywanie gleby, zasiew i zbieranie plonów; rozmnażanie i chów żywego inwentarza celem uzyskania różnych produktów zwierzęcych; utrzymywanie w dobrym stanie budynków, maszyn i sprzętu; magazynowanie i podstawowe przetwarzanie uzyskanych produktów oraz dostarczanie ich na rynek. Do ich zadań może także należeć nadzorowanie innych pracowników.",
621,Robotnicy leśni i pokrewni,"Robotnicy leśni i pokrewni planują, organizują i podejmują działania na rzecz kultywacji, ochrony i eksploatacji lasów naturalnych i nasadzeń leśnych.",,"Zadania wykonywane przez robotników ujętych w tej grupie zwykle obejmują: ocenę obszarów poddawanych zalesieniu, wybór sadzonek i sadzenie drzew przy użyciu sadzarek, zakładanie i ochronę drzewostanu; identyfikację drzew do wycinki i oszacowanie jej ilości; stosowanie pił mechanicznych i innych pił do przerzedzania młodego drzewostanu, przycinania i wycinki drzew i przygotowywania kłód; wstępną obróbkę kłód w miejscu wycinki; układanie i załadunek kłód na pochylniach lub ich spławianie rzeką; prowadzenie obserwacji w celu wykrycia pożarów lasu, udział w działaniach przeciwpożarowych, wypełnianie raportów pożarowych i utrzymywanie sprzętu przeciwpożarowego; kontrolę chwastów i poszycia w rekultywacji drzewostanu przy użyciu narzędzi ręcznych i substancji chemicznych; operowanie i utrzymywanie traktora, buldożera lub innego rodzaju sprzętu w celu wywozu ścinki lub przygotowywania obszarów do rekultywacji; zbieranie nasion z szyszek, chirurgię drzew, pomoc w obmiarach i znakowaniu drzew na potrzeby powyższych działań; szkolenia i nadzór nad robotnikami leśnymi, w tym pracownikami leśnictwa i operatorami zakładów przetwórstwa drewna.",
622,Rybacy,"Rybacy hodują ryby, łowią ryby na sprzedaż lub w dostawie do nabywców hurtowych, organizacji rynkowych lub bezpośrednio na rynek.",,"Zadania rybaków ujętych w tej grupie obejmują zwykle: rozmnażanie i hodowlę ryb, małży, ostryg i innych form akwakultury na sprzedaż lub w celu uwolnienia ich do wód słodkich lub słonych: monitoring środowiska w celu zapewnienia optymalnych warunków akwakultury; czyszczenie, mrożenie, zamrażanie lub solenie połowów morskich lub przybrzeżnych oraz przygotowanie ryb i innych produktów do transportu; wynajmowanie lub inwestowanie i utrzymanie budynków, zbiorników, maszyn, statków rybackich i innego sprzętu; przygotowywanie i reperację sieci i innych narzędzi i sprzętu połowowego; operowanie statkami rybackimi do i na terenach łowisk; zarzucanie przynęty, ustawianie, operowanie i transport sprzętu połowowego; dostawę lub marketing produktów; nadzór i szkolenie innych pracowników.",
631,Rolnicy produkcji roślinnej pracujący na własne potrzeby,"Rolnicy produkcji roślinnej pracujący na własne potrzeby uprawiają i zbierają plony z pól lub sadów, uprawiają warzywa i owoce w celu zapewnienia sobie i swym gospodarstwom domowym żywności, miejsca zamieszkania i dochodów.",,"Zadania rolników produkcji roślinnej pracujących na własne potrzeby zwykle obejmują: przygotowanie gleby; wysiew, sadzenie, uprawę i zbiór plonów; uprawę warzyw, owoców oraz sadów; przechowywanie produktów do celów późniejszego wykorzystania oraz obróbkę produktów; budowę i utrzymanie budynków i innych obiektów; wytwarzanie narzędzi, ubrań i przedmiotów gospodarstwa domowego; sprzedaż produktów na rynkach lokalnych.",
632,Hodowcy zwierząt pracujący na własne potrzeby,"Hodowcy zwierząt pracujący na własne potrzeby rozmnażają i hodują zwierzęta gospodarcze w celu zapewnienia sobie i swym gospodarstwom domowym żywności, miejsca zamieszkania i dochodów.",,"Zadania wykonywane przez hodowców zwierząt pracujących na własne potrzeby zwykle obejmują: kultywację pastwisk lub zarządzanie łąkami kośnymi, monitoring pasz i wody niezbędnych do utrzymania zwierząt gospodarczych w dobrym stanie; monitoring i badanie zwierząt w celu wykrycia chorób, urazów lub zakażeń oraz kontrolę ich stanu fizycznego; oporządzanie i znakowanie zwierząt, golenie w celu zebrania włosia lub wełny; wypas lub wyganianie stada na pastwiska, koszenie łąk i dostarczanie wody; hodowlę, karmienie i dojenie zwierząt lub puszczanie im krwi; rozmnażanie zwierząt i pomoc przy porodach; ubój i skórowanie zwierząt i przygotowanie ich i ich produktów do spożycia lub sprzedaży; przetwarzanie produktów pochodzenia zwierzęcego; budowę i utrzymanie budynków oraz innych obiektów; wytwarzanie narzędzi, ubrań oraz przedmiotów gospodarstwa domowego; kupowanie, handel wymienny i sprzedaż zwierząt i produktów pochodzenia zwierzęcego.",
633,Rolnicy produkcji roślinnej i zwierzęcej pracujący na własne potrzeby,"Rolnicy produkcji roślinnej i zwierzęcej pracujący na własne potrzeby sadzą i uprawiają pola lub sady, warzywa i owoce, zbierają dzikie owoce, rośliny lecznicze lub inne rośliny, hodują zwierzęta, hodują i łowią ryby, zbierają różne formy akwakultury w celu zapewnienia sobie i swym gospodarstwom domowym żywności i dochodów.",,"Zadania rolników produkcji roślinnej i zwierzęcej pracujących na własne potrzeby obejmują zazwyczaj: przygotowanie gleby, wysiew, sadzenie, uprawę i zbiór plonów; uprawę warzyw, owoców oraz sadów; zbieranie dzikich owoców, roślin leczniczych lub innych roślin; hodowlę, chów i karmienie zwierząt i drobiu w celu otrzymania mięsa, jaj, mleka, włosia, skóry lub innych produktów; przechowywanie produktów do celów późniejszego wykorzystania oraz obróbkę produktów; budowę i utrzymanie budynków i innych obiektów; wytwarzanie narzędzi, ubrań i przedmiotów gospodarstwa domowego; sprzedaż produktów na rynkach lokalnych.",
634,Rybacy i zbieracze pracujący na własne potrzeby,"Rybacy i zbieracze pracujący na własne potrzeby zbierają dzikie owoce, rośliny lecznicze lub inne rośliny, hodują i łowią ryby, zbierają różne formy akwakultury w celu zapewnienia sobie i swym gospodarstwom domowym żywności, miejsca zamieszkania i dochodów.",,"Zadania realizowane przez rybaków i zbieraczy pracujących na własne potrzeby obejmują zazwyczaj: zbieranie dzikich owoców, korzeni, roślin leczniczych lub innych roślin; hodowlę i łowienie ryb; zbieranie innych form akwakultury; przechowywanie produktów do celów późniejszego wykorzystania oraz obróbkę produktów; wytwarzanie narzędzi i przedmiotów gospodarstwa domowego; sprzedaż produktów na rynkach lokalnych.",
711,Robotnicy budowlani robót stanu surowego i pokrewni,"Robotnicy budowlani robót stanu surowego i pokrewni konstruują, konserwują i remontują budynki, wznoszą i remontują fundamenty, ściany i konstrukcje z cegieł, kamienia i innych materiałów, kształtują i wykańczają elewacje kamienne na budynki i do innych celów oraz konserwują różne konstrukcje i budynki.",,"Zadania wykonywane przez robotników budowlanych ujętych w tej grupie zazwyczaj obejmują: budowę, konserwację i remonty budynków i innych obiektów przy użyciu tradycyjnych oraz nowoczesnych technik budowlanych; łamanie kamienia z kamieniołomów na odłamki lub bloki; cięcie, kształtowanie i wykańczanie kamienia na elewacje budynków, ornamenty, pomniki lub do innych celów; budowę konstrukcji żelbetowych oraz wykańczanie i remonty powierzchni cementowych; układanie, konserwację i naprawę nawierzchni drogowych i kolejowych; cięcie, kształtowanie, montaż dekoracji; montaż konstrukcji i rusztowań drewnianych; konserwację różnych konstrukcji i budynków. Do ich zadań może także należeć nadzorowanie innych pracowników.",
712,Robotnicy budowlani robót wykończeniowych i pokrewni,"Robotnicy budowlani robót wykończeniowych i pokrewni wykańczają, montują lub instalują, konserwują i naprawiają dachy, podłogi, ściany, systemy izolacyjne, szyby okienne lub inne, hydraulikę, rury i systemy elektryczne w budynkach lub innych obiektach; wykonują prace sztukatorskie wewnątrz i na zewnątrz budynków.",,"Zadania wykonywane przez robotników ujętych w tej grupie obejmują zazwyczaj: pokrycie konstrukcji dachowej jednym lub kilkoma rodzajami materiałów; układanie parkietu lub innych rodzajów nawierzchni podłogowej lub pokrywanie podłóg i ścian płytkami lub mozaiką; nakładanie tynku na ściany i sufity; zdobienie wnętrz i elewacji dekoracyjnymi plastycznymi i elementami rzeźbiarskimi; kładzenie materiału izolacyjnego na ściany, podłogi i sufity; cięcie, dopasowywanie i montaż szyb okiennych i podobnych; instalację hydrauliki i orurowania; instalację okablowania elektrycznego oraz pokrewnego sprzętu. Do ich zadań może także należeć nadzorowanie innych pracowników.",
713,"Malarze, pracownicy czyszczący konstrukcje budowlane i pokrewni Formierze odlewniczy, spawacze, blacharze, monterzy konstrukcji metalowych","Malarze, pracownicy czyszczący konstrukcje budowlane i pokrewni przygotowują powierzchnie i nakładają farby i podobne materiały na budynki lub inne obiekty, pojazdy lub produkty przemysłowe. Układają tapety na ścianach wewnętrznych i sufitach budynków, czyszczą kominy i wnętrza budynków lub innych obiektów.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: przygotowanie powierzchni i nakładanie farb lub lakierów na pojazdy lub produkty przemysłowe, zwykle aeratorem; pokrywanie ścian wewnętrznych i sufitów tapetami, jedwabiem lub innymi tworzywami; czyszczenie kominów; czyszczenie wnętrz budynków i innych obiektów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
721,i pokrewni,"Formierze odlewniczy, spawacze, blacharze, monterzy konstrukcji metalowych i pokrewni wytwarzają formy i rdzenie do odlewu metali, spawają i tną elementy metalowe, wytwarzają i naprawiają artykuły blaszane oraz instalują, wznoszą, konserwują i naprawiają konstrukcje metalowe, wciągniki i konstrukcje linowe i pokrewne.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: tworzenie form i odlewów do odlewu metali; odlewanie, spawanie i kształtowanie elementów metalowych; tworzenie i naprawę artykułów blaszanych, np. z blachy stalowej, miedzi, aluminium lub mosiądzu; instalowanie, wznoszenie, konserwację i naprawy konstrukcji metalowych, a także wciągników, konstrukcji linowych i pokrewnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
722,"Kowale, ślusarze i pokrewni","Kowale, ślusarze i pokrewni wykuwają i kują belki, pręty lub bloki z żelaza, stali i innych metali w celu wykonania i naprawy różnych narzędzi, sprzętu i innych artykułów, ustawiają narzędzia dla operatorów lub ustawiają i operują różnymi narzędziami maszynowymi i szlifują oraz ostrzą powierzchnie.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: wykuwanie i kucie żelaza, stali i innych metali oraz naprawę różnych narzędzi, sprzętu i innych artykułów; ustawianie narzędzi dla operatorów i operowanie precyzyjnymi obrabiarkami skrawającymi; szlifowanie i ostrzenie powierzchni i narzędzi metalowych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
723,Mechanicy maszyn i urządzeń,"Mechanicy maszyn i urządzeń montują, instalują, konserwują i naprawiają silniki, pojazdy, urządzenia rolnicze lub przemysłowe i pokrewne urządzenia mechaniczne, kontrolują stan techniczny zespołów i układów oraz regulują i sprawdzają działania maszyn czy pojazdów jako całości za pomocą urządzeń diagnostycznych, na uniwersalnych i specjalistycznych stanowiskach obsługowo-naprawczych lub na miejscu postoju statku powietrznego lub morskiego.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zazwyczaj: montaż, instalację, konserwację i naprawę silników, pojazdów, urządzeń rolniczych lub przemysłowych i pokrewnych urządzeń mechanicznych; wykonywanie przeglądów technicznych, potwierdzanie sprawności lub usuwanie usterek poszczególnych układów, zespołów i mechanizmów maszyn i urządzeń czy pojazdów lub samolotów; usuwanie usterek w określonych zespołach i układach; dorabianie i dopasowywanie części nieznormalizowanych przy wykorzystaniu obróbki ręcznej, mechanicznej, plastycznej i różnych sposobów łączenia; wykonywanie operacji demontażowo-montażowych; weryfikowanie zużytych części oraz mycie i czyszczenie części i zespołów; przeprowadzanie konserwacji i zabezpieczeń antykorozyjnych elementów oraz wymianę płynów eksploatacyjnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
731,Rzemieślnicy,"Rzemieślnicy wykorzystują umiejętności artystyczne w celu projektowania, wykonania, naprawy, dopasowania, konserwacji i dekoracji instrumentów precyzyjnych, instrumentów muzycznych, biżuterii oraz wyrobów z metali szlachetnych, produktów garncarstwa i porcelany. Wykorzystują oni tradycyjne oraz/lub najnowsze techniki w celu wyrzeźbienia, odlania, montażu, wyplatania i dekorowania artykułów szklanych, ceramicznych, słomianych, kamiennych, drewnianych i skórzanych.",,"Zadania wykonywane przez rzemieślników obejmują zwykle: wykonanie, naprawę, konserwację i instalację instrumentów muzycznych i precyzyjnych; wyrób, naprawę lub ocenę biżuterii, przedmiotów ceremonialnych lub przedmiotów religijnych, ze złota, srebra i innych metali szlachetnych lub kamieni szlachetnych; cięcie, opiłowywanie, polerowanie i osadzanie kamieni szlachetnych i półszlachetnych oraz grawerowanie wzorów na biżuterii i artykułach z metali szlachetnych; garncarstwo, wyroby z porcelany, cegły, płytki i inne produkowane ręcznie lub maszynowo; dmuchanie, formowanie, modelowanie, cięcie, przycinanie, szlifowanie i polerowanie szkła oraz kształtowanie płynnego szkła zgodnie ze wzorcami; dekorowanie artykułów z drewna, metali, tekstyliów, szkła, ceramiki lub innych materiałów; planowanie, projektowanie i malowanie liter, cyfr, monogramów i projektów na znakach i planszach; stosowanie technik tradycyjnych jak leżakowanie, impregnacja w celu przygotowania drewna, trawy, rattanu, trzciny, kamienia, gliny, muszli i innych materiałów; rzeźbienie, formowanie, montaż, wyplatanie i dekorowanie różnych artykułów osobistych, gospodarstwa domowego lub do celów dekoracyjnych; stosowanie tradycyjnych technik i wzorców w celu wykonania wełnianych, robionych na drutach lub haftowanych tkanin oraz innych elementów konfekcji i artykułów gospodarstwa domowego. Do ich zadań może także należeć nadzorowanie innych pracowników.",
